gene_name,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,IS_OUTPUT
ECMicroenv,0.9138,0.3118,0.6107,0.2431,0.5109,0.6838,0.0782,0.2294,0.7721,0.9924,0
DNAdamage,0.6964,0.3954,0.2508,0.6606,0.3005,0.2718,0.7269,0.3732,0.5377,0.0998,0
Metastasis,0.3676,0.0053,0.7735,0.8278,0.3635,0.9227,0.2356,0.1347,0.314,0.9996,1
Migration,0.3033,0.4387,0.5059,0.8147,0.6554,0.7331,0.599,0.5388,0.4366,0.5352,1
Invasion,0.6079,0.7921,0.7558,0.1445,0.734,0.5437,0.15,0.2011,0.649,0.2751,1
EMT,0.3896,0.761,0.0032,0.1797,0.8582,0.8144,0.8887,0.7131,0.8864,0.6501,1
Apoptosis,0.6837,0.6976,0.7704,0.0659,0.2009,0.1634,0.3996,0.1353,0.5164,0.5163,1
CellCycleArrest,0.7359,0.2651,0.0939,0.7097,0.5791,0.9159,0.5806,0.4313,0.216,0.35,1
GF,0.9503,0.1747,0.5989,0.188,0.3622,0.8935,0.7102,0.0815,0.525,0.5635,0
TGFbeta,0.7566,0.9285,0.8649,0.4104,0.8476,0.3366,0.1715,0.9556,0.6466,0.6614,0
p21,0.9223,0.3231,0.3464,0.379,0.0379,0.8958,0.1857,0.6256,0.2907,0.8768,0
CDH1,0.6143,0.2962,0.5981,0.8603,0.1595,0.6552,0.9393,0.3728,0.516,0.5774,0
CDH2,0.3843,0.093,0.3817,0.7564,0.5966,0.2705,0.7267,0.0046,0.7079,0.6936,0
VIM,0.8917,0.5186,0.1408,0.5033,0.2686,0.6662,0.4381,0.7982,0.5208,0.9022,0
TWIST1,0.2516,0.9932,0.3505,0.9517,0.3689,0.2016,0.4829,0.6142,0.6204,0.8843,0
SNAI1,0.6974,0.8288,0.7016,0.3459,0.9065,0.7993,0.0893,0.3192,0.8838,0.938,0
SNAI2,0.6645,0.1484,0.5808,0.0977,0.0435,0.6177,0.7811,0.1215,0.3407,0.0665,0
ZEB1,0.3956,0.0402,0.0867,0.6349,0.1532,0.8921,0.3626,0.3855,0.7905,0.9804,0
ZEB2,0.4809,0.7911,0.0135,0.4096,0.1511,0.7673,0.8919,0.795,0.976,0.1709,0
AKT1,0.824,0.7052,0.5042,0.449,0.2575,0.8951,0.4784,0.3177,0.0086,0.7313,0
DKK1,0.7668,0.1759,0.3975,0.887,0.6811,0.275,0.4801,0.7297,0.5237,0.6042,0
CTNNB1,0.7741,0.2898,0.988,0.4511,0.4618,0.4201,0.4593,0.8003,0.1103,0.0198,0
NICD,0.2257,0.0715,0.7601,0.7694,0.5296,0.1333,0.1951,0.9838,0.9829,0.1035,0
p63,0.4022,0.9107,0.2884,0.274,0.8074,0.4914,0.1274,0.2565,0.1837,0.7526,0
p53,0.2527,0.227,0.1418,0.1013,0.5661,0.3591,0.5066,0.3933,0.6094,0.777,0
p73,0.4315,0.7794,0.7131,0.7277,0.5237,0.721,0.1096,0.4597,0.2712,0.667,0
miR200,0.5014,0.5045,0.4796,0.8129,0.8163,0.3729,0.1092,0.0353,0.7561,0.169,0
miR203,0.1441,0.5367,0.5587,0.3322,0.1552,0.296,0.9878,0.7853,0.6273,0.8584,0
miR34,0.3829,0.8464,0.1612,0.7902,0.1651,0.4045,0.6608,0.9399,0.8333,0.422,0
AKT2,0.077,0.1787,0.9982,0.1342,0.9205,0.4296,0.1911,0.2118,0.8613,0.6458,0
ERK,0.7889,0.0448,0.6375,0.8871,0.8812,0.8965,0.4576,0.5842,0.3378,0.9655,0
SMAD,0.6402,0.9754,0.7808,0.7549,0.4016,0.4648,0.1663,0.001,0.0367,0.4791,0
