gene_name,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,IS_OUTPUT
ECMicroenv,0.0661,0.7404,0.4651,0.9106,0.1275,0.8782,0.804,0.8274,0.3179,0.6221,0
DNAdamage,0.3261,0.9094,0.6638,0.554,0.8087,0.2008,0.6942,0.2817,0.3042,0.6153,0
Metastasis,0.4592,0.6323,0.7363,0.1319,0.9361,0.404,0.1603,0.0724,0.5255,0.9722,1
Migration,0.464,0.0825,0.5504,0.3959,0.7554,0.9211,0.5154,0.8173,0.5198,0.9316,1
Invasion,0.0302,0.6404,0.8088,0.4513,0.4615,0.6129,0.826,0.1428,0.3112,0.5689,1
EMT,0.141,0.0666,0.4606,0.661,0.4902,0.1903,0.6801,0.7602,0.9329,0.7078,1
Apoptosis,0.0534,0.7499,0.1669,0.0166,0.1443,0.9386,0.9266,0.2431,0.5513,0.848,1
CellCycleArrest,0.929,0.8893,0.7909,0.8758,0.1192,0.5552,0.3334,0.6834,0.8259,0.3804,1
GF,0.7829,0.8463,0.3335,0.9047,0.1252,0.2879,0.1921,0.0191,0.8515,0.331,0
TGFbeta,0.1977,0.4115,0.3786,0.0447,0.345,0.7747,0.2785,0.716,0.8037,0.4239,0
p21,0.1695,0.361,0.2252,0.5358,0.267,0.1516,0.9315,0.7089,0.9072,0.7174,0
CDH1,0.961,0.5877,0.9018,0.2403,0.7024,0.2712,0.1894,0.9219,0.9431,0.7769,0
CDH2,0.9439,0.1612,0.8574,0.5097,0.4879,0.4081,0.5865,0.6509,0.7746,0.0069,0
VIM,0.2774,0.3719,0.0887,0.0701,0.8583,0.4956,0.6567,0.428,0.1749,0.9109,0
TWIST1,0.9318,0.37,0.135,0.4108,0.0272,0.6015,0.7785,0.8469,0.9415,0.8945,0
SNAI1,0.779,0.8461,0.778,0.9898,0.7215,0.9513,0.5396,0.5701,0.7765,0.3097,0
SNAI2,0.9049,0.6607,0.8834,0.6056,0.9708,0.2188,0.8527,0.3958,0.3899,0.4095,0
ZEB1,0.4035,0.0892,0.2809,0.234,0.886,0.0878,0.3017,0.0319,0.7584,0.7547,0
ZEB2,0.9214,0.5984,0.9677,0.265,0.281,0.9987,0.6665,0.6607,0.891,0.2375,0
AKT1,0.6063,0.1527,0.5313,0.2,0.7914,0.6609,0.4992,0.7437,0.6264,0.5814,0
DKK1,0.0623,0.9535,0.6198,0.7409,0.4629,0.8743,0.0688,0.7941,0.3144,0.2028,0
CTNNB1,0.3272,0.0452,0.7141,0.4819,0.0995,0.1983,0.8648,0.2192,0.846,0.8099,0
NICD,0.4022,0.0662,0.8873,0.5167,0.8785,0.3374,0.7743,0.6944,0.606,0.1525,0
p63,0.935,0.7662,0.5232,0.0216,0.2712,0.1177,0.9079,0.5774,0.3955,0.7968,0
p53,0.6765,0.7195,0.8283,0.0547,0.6164,0.4593,0.7428,0.7177,0.0595,0.8789,0
p73,0.3215,0.2559,0.8485,0.3585,0.3754,0.6107,0.9662,0.4154,0.1581,0.4241,0
miR200,0.2731,0.42,0.5961,0.559,0.2398,0.7902,0.3238,0.2331,0.3723,0.5689,0
miR203,0.4668,0.4558,0.3233,0.8203,0.3832,0.0993,0.3954,0.5819,0.9287,0.7264,0
miR34,0.3156,0.5042,0.0376,0.6278,0.5549,0.3398,0.7129,0.721,0.5757,0.7758,0
AKT2,0.2806,0.0183,0.9431,0.3422,0.8822,0.948,0.6861,0.9761,0.7815,0.6772,0
ERK,0.4498,0.8164,0.0637,0.4585,0.8924,0.4941,0.4363,0.948,0.2808,0.8576,0
SMAD,0.6834,0.6669,0.1445,0.2381,0.4962,0.0298,0.8014,0.1978,0.1278,0.7767,0
