gene_name,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,IS_OUTPUT
ECMicroenv,0.592,0.3838,0.9491,0.2979,0.0079,0.9057,0.6503,0.9409,0.9453,0.0292,0
DNAdamage,0.4927,0.3549,0.9227,0.7479,0.7251,0.818,0.3376,0.6411,0.2107,0.7779,0
Metastasis,0.7422,0.4146,0.3122,0.3847,0.4698,0.7631,0.4072,0.0106,0.7926,0.5656,1
Migration,0.5824,0.8994,0.4941,0.7587,0.4888,0.4872,0.2881,0.3186,0.8026,0.0627,1
Invasion,0.2612,0.5156,0.7945,0.1009,0.1361,0.3132,0.5731,0.4397,0.2732,0.6334,1
EMT,0.3134,0.7531,0.3021,0.3821,0.7551,0.0549,0.358,0.6377,0.937,0.7042,1
Apoptosis,0.3953,0.7758,0.6071,0.1902,0.8763,0.4369,0.8921,0.7235,0.9779,0.2357,1
CellCycleArrest,0.3106,0.9949,0.3509,0.3217,0.2462,0.2644,0.6127,0.6304,0.2966,0.9987,1
GF,0.8269,0.0665,0.9912,0.5423,0.1346,0.6603,0.2602,0.5203,0.3609,0.8074,0
TGFbeta,0.9905,0.4289,0.4807,0.7023,0.158,0.6217,0.428,0.6256,0.681,0.02,0
p21,0.9819,0.6605,0.0728,0.7109,0.9858,0.4828,0.558,0.9272,0.5574,0.4412,0
CDH1,0.7946,0.0706,0.2097,0.1179,0.5307,0.5482,0.6849,0.9321,0.9949,0.9582,0
CDH2,0.169,0.1092,0.269,0.2388,0.2995,0.0077,0.2824,0.5209,0.4528,0.7933,0
VIM,0.2388,0.1301,0.5332,0.6973,0.2883,0.8412,0.0936,0.7096,0.7236,0.989,0
TWIST1,0.065,0.3155,0.5421,0.5911,0.7716,0.1074,0.8779,0.1216,0.2699,0.7764,0
SNAI1,0.2814,0.4075,0.0171,0.4196,0.3433,0.5085,0.9913,0.8489,0.5857,0.615,0
SNAI2,0.7481,0.5645,0.946,0.48,0.8453,0.7932,0.0859,0.014,0.3493,0.043,0
ZEB1,0.4092,0.5621,0.7787,0.6384,0.6695,0.0054,0.8168,0.1288,0.0598,0.9355,0
ZEB2,0.8514,0.9829,0.2287,0.3627,0.6972,0.4547,0.2916,0.8762,0.2144,0.768,0
AKT1,0.4863,0.0564,0.1688,0.5753,0.6206,0.6092,0.5197,0.5655,0.2731,0.2314,0
DKK1,0.6314,0.247,0.4105,0.5725,0.1723,0.1292,0.0513,0.3058,0.0114,0.1524,0
CTNNB1,0.5321,0.5786,0.1833,0.9405,0.9597,0.4301,0.104,0.6187,0.5103,0.9722,0
NICD,0.2624,0.2585,0.0281,0.1258,0.2574,0.1933,0.8053,0.1859,0.4082,0.738,0
p63,0.607,0.9486,0.5374,0.9503,0.9546,0.7753,0.3833,0.6363,0.5392,0.4239,0
p53,0.7905,0.2333,0.8837,0.4183,0.2029,0.9235,0.2475,0.8338,0.911,0.0163,0
p73,0.6186,0.3426,0.147,0.2752,0.4608,0.9199,0.2843,0.6575,0.3612,0.4007,0
miR200,0.9932,0.316,0.3801,0.5607,0.7068,0.4267,0.0837,0.1417,0.0536,0.6735,0
miR203,0.7489,0.7381,0.2702,0.7158,0.7311,0.2341,0.5621,0.6035,0.3889,0.3625,0
miR34,0.0349,0.7938,0.2285,0.4533,0.4133,0.0827,0.8684,0.1045,0.4144,0.1589,0
AKT2,0.3188,0.4302,0.6264,0.71,0.3928,0.2127,0.0417,0.7039,0.743,0.0595,0
ERK,0.7773,0.7013,0.5942,0.3465,0.7236,0.9999,0.116,0.9835,0.8062,0.2729,0
SMAD,0.2819,0.8203,0.3039,0.9642,0.121,0.5125,0.2416,0.2857,0.2338,0.0264,0
