gene_name,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,IS_OUTPUT
ECMicroenv,0.7627,0.3839,0.2208,0.4162,0.1331,0.3143,0.9229,0.0971,0.8187,0.9576,0
DNAdamage,0.3535,0.464,0.3589,0.53,0.0667,0.5063,0.3261,0.8469,0.721,0.9273,0
Metastasis,0.685,0.21,0.0562,0.6862,0.8176,0.5288,0.3496,0.5668,0.5466,0.2769,1
Migration,0.0014,0.2843,0.9386,0.686,0.7692,0.9852,0.8239,0.9666,0.9557,0.5464,1
Invasion,0.1201,0.9474,0.9163,0.6842,0.5029,0.2784,0.0369,0.5416,0.3359,0.2887,1
EMT,0.1035,0.963,0.1572,0.017,0.6999,0.6645,0.0126,0.0414,0.9265,0.3567,1
Apoptosis,0.8022,0.1268,0.5695,0.1817,0.3995,0.147,0.3608,0.4981,0.0753,0.44,1
CellCycleArrest,0.6572,0.3341,0.2197,0.9615,0.3629,0.8451,0.3207,0.4364,0.2199,0.3899,1
GF,0.9497,0.6628,0.0216,0.9002,0.9219,0.0423,0.5367,0.5599,0.2404,0.2697,0
TGFbeta,0.676,0.5024,0.7732,0.4129,0.036,0.2552,0.7513,0.1411,0.2251,0.5807,0
p21,0.1937,0.5502,0.0416,0.9265,0.3238,0.0891,0.3155,0.0805,0.2533,0.3944,0
CDH1,0.4225,0.815,0.8295,0.9893,0.9141,0.7291,0.929,0.342,0.8549,0.1452,0
CDH2,0.295,0.3055,0.916,0.2379,0.1558,0.8588,0.8502,0.3196,0.5286,0.5629,0
VIM,0.7156,0.8721,0.9706,0.07,0.3338,0.4277,0.4739,0.6825,0.8273,0.234,0
TWIST1,0.7687,0.4612,0.7895,0.1211,0.6647,0.2154,0.5465,0.9622,0.7794,0.5723,0
SNAI1,0.0748,0.1887,0.2517,0.9001,0.7646,0.6969,0.9185,0.763,0.5865,0.3062,0
SNAI2,0.5666,0.1192,0.6792,0.5877,0.7363,0.1488,0.6866,0.0683,0.5861,0.1793,0
ZEB1,0.1844,0.6907,0.8252,0.3396,0.7986,0.724,0.3214,0.1261,0.5582,0.3989,0
ZEB2,0.9485,0.299,0.3336,0.2443,0.9979,0.4415,0.0879,0.8456,0.2868,0.5754,0
AKT1,0.2868,0.9947,0.3829,0.2627,0.6107,0.9898,0.7115,0.1012,0.2754,0.5523,0
DKK1,0.2984,0.0119,0.3561,0.5005,0.4952,0.1288,0.2571,0.5983,0.2666,0.7893,0
CTNNB1,0.2647,0.3041,0.7151,0.0601,0.4678,0.4781,0.5376,0.1622,0.1738,0.1912,0
NICD,0.402,0.8591,0.4952,0.2434,0.4037,0.9952,0.3349,0.566,0.8762,0.5079,0
p63,0.7823,0.5846,0.2684,0.6156,0.7393,0.5486,0.4128,0.5511,0.8834,0.5775,0
p53,0.0751,0.053,0.5628,0.6124,0.3636,0.7591,0.1308,0.9659,0.8181,0.3292,0
p73,0.5473,0.3996,0.2716,0.5285,0.727,0.7876,0.5508,0.9546,0.168,0.3176,0
miR200,0.1562,0.4666,0.8603,0.5038,0.8024,0.0365,0.0926,0.0115,0.2264,0.6467,0
miR203,0.1418,0.8454,0.1916,0.5066,0.9322,0.5506,0.5482,0.2974,0.8926,0.9497,0
miR34,0.1828,0.3767,0.4986,0.4884,0.5091,0.8758,0.579,0.7573,0.2068,0.5413,0
AKT2,0.7956,0.5018,0.3036,0.0206,0.8958,0.646,0.8078,0.1502,0.7787,0.4896,0
ERK,0.8502,0.2374,0.3191,0.3593,0.4286,0.5951,0.8378,0.0442,0.4707,0.9247,0
SMAD,0.8555,0.2277,0.9129,0.2444,0.3314,0.718,0.4736,0.3943,0.5212,0.2813,0
