gene_name,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,IS_OUTPUT
ECMicroenv,0.1033,0.0786,0.2006,0.1087,0.2144,0.8861,0.4843,0.1356,0.125,0.3449,0
DNAdamage,0.7186,0.7979,0.6878,0.8066,0.0711,0.9102,0.034,0.8974,0.0425,0.3906,0
Metastasis,0.017,0.0748,0.0468,0.695,0.3917,0.726,0.5441,0.4875,0.9239,0.0315,1
Migration,0.7937,0.3345,0.0573,0.2216,0.1369,0.7743,0.1616,0.8977,0.7339,0.826,1
Invasion,0.8218,0.0972,0.3157,0.6562,0.422,0.8039,0.9793,0.6172,0.7766,0.2425,1
EMT,0.4241,0.8043,0.9379,0.3017,0.2694,0.9489,0.8986,0.1715,0.7874,0.1039,1
Apoptosis,0.0737,0.0917,0.9646,0.6216,0.0789,0.574,0.0679,0.1799,0.379,0.1521,1
CellCycleArrest,0.3827,0.6251,0.7257,0.714,0.2165,0.8203,0.2031,0.6265,0.0006,0.7604,1
GF,0.4617,0.9363,0.5352,0.2007,0.02,0.592,0.9272,0.9816,0.4061,0.5565,0
TGFbeta,0.2984,0.7023,0.7328,0.8492,0.8138,0.8087,0.1773,0.915,0.3317,0.4871,0
p21,0.5476,0.9642,0.8782,0.6973,0.6102,0.9883,0.979,0.6421,0.1509,0.3143,0
CDH1,0.9632,0.0381,0.8985,0.7066,0.4208,0.836,0.9867,0.4218,0.4063,0.1201,0
CDH2,0.9762,0.2309,0.5666,0.1476,0.0937,0.2307,0.5196,0.3899,0.5309,0.5219,0
VIM,0.8292,0.9355,0.456,0.1789,0.7628,0.0708,0.9846,0.1691,0.8148,0.7966,0
TWIST1,0.3586,0.0353,0.8677,0.8133,0.0339,0.3088,0.501,0.9962,0.4975,0.821,0
SNAI1,0.5114,0.9308,0.3402,0.2184,0.1768,0.9174,0.0805,0.9088,0.1466,0.5817,0
SNAI2,0.9088,0.6182,0.5169,0.2874,0.1278,0.155,0.9627,0.708,0.7157,0.7159,0
ZEB1,0.3709,0.4444,0.2457,0.259,0.9723,0.4487,0.0992,0.861,0.775,0.5594,0
ZEB2,0.3824,0.4541,0.1273,0.3424,0.3518,0.6175,0.3522,0.9407,0.0759,0.0788,0
AKT1,0.4316,0.5009,0.9119,0.8894,0.2281,0.9365,0.4607,0.2716,0.8295,0.66,0
DKK1,0.2784,0.8789,0.28,0.5797,0.3202,0.9753,0.9115,0.2245,0.9538,0.8213,0
CTNNB1,0.0227,0.1976,0.9594,0.896,0.5309,0.2028,0.6157,0.0388,0.9476,0.0013,0
NICD,0.0127,0.175,0.756,0.3461,0.2661,0.0844,0.8679,0.4956,0.3545,0.694,0
p63,0.6612,0.6638,0.5083,0.8354,0.3481,0.0069,0.0638,0.183,0.2758,0.073,0
p53,0.662,0.0267,0.5366,0.1003,0.7222,0.8219,0.2765,0.0357,0.4961,0.7743,0
p73,0.0242,0.3268,0.9328,0.536,0.7939,0.6978,0.7711,0.5316,0.1137,0.1968,0
miR200,0.6257,0.2338,0.8506,0.8016,0.6342,0.2113,0.5578,0.4187,0.6572,0.7461,0
miR203,0.4317,0.1379,0.9823,0.4673,0.1347,0.5186,0.5621,0.0535,0.1696,0.9888,0
miR34,0.3133,0.9341,0.6957,0.0143,0.8576,0.07,0.4216,0.6939,0.1663,0.3701,0
AKT2,0.226,0.9065,0.3274,0.9022,0.074,0.7993,0.3829,0.7748,0.55,0.7391,0
ERK,0.7452,0.021,0.3462,0.7653,0.6217,0.3857,0.9372,0.1049,0.913,0.4297,0
SMAD,0.7825,0.7985,0.2456,0.0547,0.6777,0.2732,0.7478,0.6778,0.471,0.8181,0
