gene_name,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,IS_OUTPUT
ECMicroenv,0.8142,0.2013,0.2284,0.5627,0.164,0.8707,0.1336,0.368,0.7651,0.2146,0
DNAdamage,0.1639,0.9269,0.9729,0.8776,0.5039,0.318,0.6399,0.0738,0.9867,0.9914,0
Metastasis,0.5051,0.271,0.7867,0.4553,0.5071,0.6352,0.0968,0.8582,0.8237,0.5399,1
Migration,0.9807,0.3823,0.8533,0.5291,0.8599,0.7626,0.4945,0.467,0.957,0.1285,1
Invasion,0.1326,0.2775,0.1414,0.893,0.6754,0.7402,0.07,0.865,0.2992,0.4622,1
EMT,0.1007,0.0438,0.5255,0.5366,0.3739,0.4837,0.2582,0.9047,0.3949,0.7343,1
Apoptosis,0.4297,0.4745,0.8761,0.2146,0.0458,0.5011,0.6035,0.203,0.4341,0.0011,1
CellCycleArrest,0.6684,0.53,0.3967,0.6248,0.0874,0.6719,0.8768,0.9857,0.8372,0.8132,1
GF,0.0838,0.4278,0.9739,0.0609,0.1226,0.2047,0.3506,0.7751,0.9289,0.7022,0
TGFbeta,0.042,0.9771,0.4658,0.0714,0.8302,0.786,0.243,0.5588,0.1509,0.287,0
p21,0.7976,0.9839,0.3414,0.4907,0.2203,0.4294,0.3798,0.3299,0.1928,0.6392,0
CDH1,0.9513,0.8177,0.0293,0.5755,0.655,0.0838,0.2282,0.0231,0.884,0.9804,0
CDH2,0.2095,0.9906,0.0093,0.5779,0.4356,0.2769,0.4049,0.8496,0.1801,0.6651,0
VIM,0.7271,0.6931,0.2192,0.7684,0.4737,0.4882,0.2644,0.017,0.4746,0.4791,0
TWIST1,0.5911,0.6485,0.5958,0.3735,0.7989,0.998,0.5654,0.1633,0.1295,0.3389,0
SNAI1,0.2077,0.0593,0.1893,0.4654,0.4352,0.355,0.4777,0.961,0.3134,0.1978,0
SNAI2,0.8292,0.136,0.5182,0.2267,0.3911,0.7328,0.0069,0.7439,0.8402,0.2973,0
ZEB1,0.449,0.3956,0.655,0.6533,0.908,0.6246,0.4276,0.9663,0.9332,0.6599,0
ZEB2,0.1022,0.8088,0.0892,0.3526,0.9699,0.3619,0.5524,0.5315,0.853,0.2261,0
AKT1,0.5653,0.5458,0.8153,0.8395,0.7524,0.6652,0.1907,0.8211,0.9041,0.7859,0
DKK1,0.711,0.5486,0.5247,0.8224,0.7815,0.0127,0.7539,0.3994,0.6374,0.624,0
CTNNB1,0.0658,0.4228,0.3494,0.164,0.4838,0.4435,0.7195,0.911,0.7615,0.8108,0
NICD,0.6875,0.8074,0.677,0.5003,0.4015,0.4064,0.5746,0.1477,0.0253,0.1648,0
p63,0.4175,0.12,0.8901,0.3769,0.0214,0.0786,0.9781,0.1397,0.3358,0.1752,0
p53,0.0629,0.4947,0.425,0.2979,0.8407,0.8738,0.066,0.6965,0.288,0.1075,0
p73,0.7673,0.0302,0.3449,0.2642,0.1101,0.7074,0.1723,0.1458,0.9366,0.1103,0
miR200,0.3386,0.6242,0.342,0.8862,0.4714,0.6483,0.7329,0.5595,0.6636,0.9115,0
miR203,0.7498,0.6552,0.4125,0.3953,0.5669,0.1857,0.0145,0.744,0.8024,0.3563,0
miR34,0.7263,0.5684,0.6518,0.881,0.8126,0.5569,0.5665,0.9627,0.1609,0.3773,0
AKT2,0.3734,0.0316,0.0976,0.3669,0.9037,0.5789,0.9045,0.5057,0.4068,0.6816,0
ERK,0.6691,0.244,0.1153,0.5103,0.0377,0.01,0.8158,0.181,0.281,0.7677,0
SMAD,0.5056,0.5618,0.3145,0.6214,0.9455,0.271,0.4852,0.3091,0.1533,0.7227,0
