gene_name,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,IS_OUTPUT
ECMicroenv,0.258,0.3344,0.4739,0.6989,0.4021,0.6028,0.8222,0.1501,0.2735,0.2157,0
DNAdamage,0.3222,0.4599,0.9843,0.2749,0.9238,0.6155,0.74,0.0774,0.9112,0.0824,0
Metastasis,0.0494,0.1588,0.5221,0.177,0.0219,0.9721,0.5316,0.3177,0.5823,0.2034,1
Migration,0.3264,0.5935,0.4211,0.189,0.7917,0.0277,0.2503,0.7798,0.7113,0.1289,1
Invasion,0.9514,0.0911,0.5494,0.2583,0.6436,0.4873,0.4712,0.3443,0.8941,0.75,1
EMT,0.5473,0.5449,0.8477,0.8538,0.4724,0.6222,0.2687,0.7422,0.5522,0.6376,1
Apoptosis,0.2095,0.5628,0.5822,0.567,0.3637,0.5392,0.7103,0.8691,0.3407,0.6837,1
CellCycleArrest,0.4792,0.9327,0.7448,0.8625,0.7268,0.6991,0.1939,0.9771,0.5411,0.0543,1
GF,0.2668,0.8427,0.325,0.1732,0.6713,0.5015,0.9504,0.9626,0.6668,0.0944,0
TGFbeta,0.2107,0.4067,0.2057,0.0772,0.3128,0.9989,0.4052,0.6312,0.274,0.3006,0
p21,0.7761,0.0308,0.7951,0.9411,0.6525,0.8381,0.2679,0.8156,0.1328,0.8345,0
CDH1,0.9287,0.1826,0.8013,0.5989,0.2686,0.794,0.1524,0.3855,0.6882,0.7984,0
CDH2,0.4689,0.8186,0.007,0.1608,0.0758,0.681,0.9817,0.3696,0.1458,0.6475,0
VIM,0.4878,0.4537,0.6417,0.7376,0.2844,0.7049,0.6633,0.8235,0.3888,0.306,0
TWIST1,0.7088,0.7326,0.7843,0.4317,0.9377,0.555,0.9335,0.1516,0.0534,0.8314,0
SNAI1,0.9143,0.5953,0.2114,0.4323,0.9665,0.2672,0.9612,0.5595,0.8002,0.3264,0
SNAI2,0.6682,0.8587,0.484,0.02,0.5548,0.1403,0.3688,0.7959,0.4561,0.5055,0
ZEB1,0.7164,0.1817,0.171,0.1089,0.7785,0.047,0.7458,0.6273,0.6777,0.3139,0
ZEB2,0.6044,0.9295,0.3297,0.1071,0.1342,0.988,0.3437,0.0902,0.3512,0.2339,0
AKT1,0.1002,0.6746,0.7079,0.2346,0.8194,0.4084,0.5529,0.137,0.0225,0.1141,0
DKK1,0.5344,0.9714,0.8807,0.982,0.3164,0.3419,0.77,0.8959,0.2644,0.3097,0
CTNNB1,0.3696,0.5086,0.2207,0.1727,0.0882,0.588,0.6608,0.7812,0.0206,0.3651,0
NICD,0.4096,0.4038,0.0109,0.0623,0.6976,0.9738,0.6452,0.5154,0.3041,0.8085,0
p63,0.2162,0.5675,0.1115,0.1344,0.621,0.4722,0.3335,0.6736,0.8702,0.6435,0
p53,0.2573,0.6751,0.2472,0.9424,0.6406,0.1343,0.67,0.1186,0.0707,0.7306,0
p73,0.4379,0.8229,0.2953,0.8248,0.8907,0.5551,0.5778,0.2792,0.785,0.431,0
miR200,0.9786,0.2234,0.2101,0.2246,0.9913,0.6584,0.9715,0.7715,0.9507,0.1477,0
miR203,0.9705,0.91,0.0338,0.5045,0.4234,0.0312,0.7103,0.6137,0.3524,0.8325,0
miR34,0.1749,0.8136,0.2907,0.6301,0.145,0.5113,0.3919,0.1107,0.8301,0.5495,0
AKT2,0.8523,0.2339,0.0712,0.2526,0.1021,0.7997,0.31,0.3,0.7197,0.0541,0
ERK,0.3317,0.6618,0.2447,0.5645,0.9729,0.0407,0.1723,0.7497,0.752,0.2678,0
SMAD,0.1149,0.1907,0.3492,0.4425,0.8338,0.9022,0.2068,0.5416,0.6401,0.5227,0
