gene_name,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,IS_OUTPUT
ECMicroenv,0.36,0.741,0.0266,0.0557,0.1124,0.9397,0.2995,0.6185,0.6509,0.9717,0
DNAdamage,0.7236,0.4312,0.5813,0.8067,0.2248,0.6061,0.3302,0.5805,0.4575,0.1963,0
Metastasis,0.2017,0.348,0.5036,0.8491,0.3605,0.5121,0.815,0.644,0.0086,0.6818,1
Migration,0.8514,0.9201,0.6962,0.3784,0.1108,0.5074,0.1545,0.6806,0.3333,0.0183,1
Invasion,0.7044,0.2083,0.9962,0.8502,0.3726,0.4656,0.9238,0.6079,0.8746,0.6249,1
EMT,0.7778,0.3803,0.3856,0.1031,0.7389,0.9968,0.5056,0.3342,0.1195,0.0705,1
Apoptosis,0.7799,0.0636,0.6966,0.6114,0.7144,0.2088,0.6518,0.4423,0.4202,0.1808,1
CellCycleArrest,0.8331,0.2025,0.1365,0.4864,0.4243,0.8668,0.5708,0.5506,0.0493,0.9071,1
GF,0.1259,0.9429,0.05,0.2572,0.9242,0.5069,0.2819,0.849,0.0368,0.9737,0
TGFbeta,0.183,0.9048,0.8894,0.7918,0.8395,0.2218,0.3755,0.047,0.2824,0.3507,0
p21,0.5482,0.4444,0.9897,0.1171,0.9003,0.5972,0.7653,0.4194,0.3298,0.339,0
CDH1,0.7442,0.6739,0.3324,0.9698,0.2026,0.5517,0.7493,0.6745,0.9125,0.8693,0
CDH2,0.4354,0.1444,0.6078,0.7095,0.6626,0.5485,0.9077,0.9717,0.9502,0.8748,0
VIM,0.7933,0.599,0.3983,0.0154,0.4367,0.2578,0.2759,0.0777,0.4098,0.7886,0
TWIST1,0.2473,0.8978,0.4675,0.8984,0.5132,0.1965,0.8894,0.4299,0.402,0.8614,0
SNAI1,0.3572,0.7977,0.8971,0.0376,0.3346,0.0283,0.4479,0.4329,0.6295,0.0449,0
SNAI2,0.456,0.8935,0.7157,0.3228,0.8342,0.0936,0.5853,0.4545,0.7328,0.7399,0
ZEB1,0.3511,0.9192,0.226,0.4118,0.541,0.2427,0.1976,0.1128,0.068,0.207,0
ZEB2,0.1862,0.0347,0.135,0.9403,0.1988,0.9536,0.6827,0.1078,0.4477,0.1514,0
AKT1,0.8596,0.6423,0.5643,0.6183,0.8299,0.8273,0.9374,0.2571,0.9861,0.99,0
DKK1,0.9285,0.044,0.0705,0.1438,0.7067,0.467,0.9736,0.8628,0.6139,0.8872,0
CTNNB1,0.9684,0.371,0.5012,0.7981,0.4838,0.9674,0.7598,0.2154,0.2352,0.4175,0
NICD,0.0523,0.0836,0.2562,0.0171,0.1361,0.9073,0.3419,0.0776,0.1111,0.075,0
p63,0.4541,0.942,0.3573,0.745,0.3866,0.0401,0.4233,0.9424,0.3082,0.5306,0
p53,0.6546,0.4776,0.3772,0.3551,0.2356,0.2508,0.3173,0.7504,0.4674,0.926,0
p73,0.5242,0.5779,0.0031,0.9732,0.5488,0.0898,0.5412,0.919,0.8152,0.1552,0
miR200,0.4232,0.872,0.6186,0.2352,0.1435,0.9443,0.9421,0.2907,0.3964,0.7618,0
miR203,0.9603,0.9523,0.4034,0.4611,0.8281,0.6152,0.7471,0.695,0.0969,0.6151,0
miR34,0.6943,0.0561,0.6747,0.4852,0.9411,0.2317,0.1778,0.8732,0.8177,0.8767,0
AKT2,0.1258,0.5695,0.4179,0.5649,0.2486,0.9691,0.474,0.1027,0.0613,0.4466,0
ERK,0.3492,0.8805,0.4932,0.5627,0.3039,0.2426,0.7239,0.6818,0.0893,0.5355,0
SMAD,0.7086,0.9264,0.5185,0.1394,0.472,0.9832,0.1814,0.5085,0.1145,0.747,0
