gene_name,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,IS_OUTPUT
ECMicroenv,0.6936,0.2328,0.0888,0.3677,0.361,0.0662,0.7482,0.8962,0.3837,0.7416,0
DNAdamage,0.5127,0.5563,0.7337,0.4147,0.1407,0.6792,0.2216,0.7896,0.5234,0.0805,0
Metastasis,0.935,0.4604,0.0139,0.3869,0.6926,0.7507,0.9157,0.6076,0.958,0.1544,1
Migration,0.7439,0.0342,0.9873,0.8,0.819,0.3165,0.9525,0.0015,0.7022,0.4303,1
Invasion,0.4868,0.6038,0.5382,0.2282,0.6755,0.5477,0.8954,0.7789,0.1673,0.0012,1
EMT,0.805,0.5029,0.2338,0.7746,0.8891,0.3841,0.2081,0.8633,0.1995,0.2351,1
Apoptosis,0.6124,0.4595,0.996,0.0439,0.7529,0.7917,0.1161,0.7019,0.0526,0.6757,1
CellCycleArrest,0.1037,0.4755,0.3041,0.0655,0.3864,0.7551,0.0942,0.211,0.3885,0.1463,1
GF,0.5963,0.3564,0.6141,0.5457,0.4162,0.8419,0.0105,0.1428,0.1962,0.1329,0
TGFbeta,0.9005,0.9598,0.3635,0.0966,0.2769,0.7603,0.2892,0.4608,0.537,0.0657,0
p21,0.5249,0.3883,0.5172,0.6894,0.0694,0.6528,0.7279,0.6002,0.4845,0.8869,0
CDH1,0.0401,0.9311,0.8048,0.2304,0.4103,0.757,0.8884,0.6081,0.3776,0.9034,0
CDH2,0.5532,0.6692,0.5332,0.6595,0.3727,0.7238,0.992,0.9613,0.1799,0.8769,0
VIM,0.3533,0.5986,0.4859,0.2358,0.2015,0.4686,0.9339,0.0117,0.7271,0.0806,0
TWIST1,0.4419,0.9756,0.3624,0.0964,0.88,0.025,0.6098,0.5104,0.3193,0.2027,0
SNAI1,0.0103,0.2506,0.1603,0.3877,0.5731,0.5032,0.4724,0.1665,0.4335,0.7255,0
SNAI2,0.6803,0.4688,0.3685,0.7765,0.3715,0.895,0.7425,0.3907,0.1907,0.076,0
ZEB1,0.221,0.3761,0.4084,0.0071,0.8673,0.8389,0.3361,0.5509,0.2248,0.3365,0
ZEB2,0.7713,0.0364,0.9708,0.2357,0.3366,0.6773,0.9226,0.5221,0.2384,0.0056,0
AKT1,0.3732,0.2966,0.3546,0.5873,0.9542,0.3157,0.7045,0.5317,0.7559,0.8391,0
DKK1,0.9807,0.8787,0.5371,0.5395,0.0425,0.9873,0.6202,0.9863,0.9138,0.3475,0
CTNNB1,0.8005,0.9117,0.4577,0.6498,0.0736,0.4874,0.1782,0.0614,0.2992,0.7541,0
NICD,0.5749,0.9683,0.1609,0.7708,0.3572,0.1843,0.3733,0.1699,0.3703,0.314,0
p63,0.144,0.6104,0.2448,0.5064,0.9384,0.5988,0.1777,0.2405,0.0666,0.5337,0
p53,0.7142,0.1885,0.6881,0.7642,0.7402,0.556,0.1383,0.6205,0.2262,0.7476,0
p73,0.4672,0.8394,0.0012,0.3979,0.1743,0.0527,0.5393,0.7584,0.6785,0.0942,0
miR200,0.7723,0.4138,0.2982,0.7797,0.0929,0.7553,0.5442,0.1678,0.8326,0.3287,0
miR203,0.2787,0.7907,0.5903,0.8798,0.5143,0.8432,0.1753,0.5724,0.7728,0.3701,0
miR34,0.7124,0.8053,0.3808,0.2773,0.297,0.7549,0.5707,0.1471,0.7134,0.8878,0
AKT2,0.8383,0.1755,0.4731,0.1701,0.2246,0.6761,0.8309,0.9837,0.3842,0.3699,0
ERK,0.2113,0.8959,0.4672,0.419,0.0688,0.258,0.0501,0.2187,0.9473,0.6144,0
SMAD,0.974,0.2557,0.2748,0.6022,0.5418,0.3379,0.8541,0.4861,0.6352,0.0033,0
