gene_name,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,IS_OUTPUT
ECMicroenv,0.8928,0.3787,0.8038,0.6467,0.0976,0.7588,0.7289,0.4235,0.6057,0.2625,0
DNAdamage,0.0786,0.44,0.0884,0.6018,0.9194,0.4549,0.0002,0.325,0.904,0.4358,0
Metastasis,0.2939,0.3895,0.9819,0.3806,0.5907,0.4664,0.7572,0.4644,0.9496,0.2763,1
Migration,0.8949,0.9807,0.8691,0.4965,0.3577,0.3693,0.4962,0.1374,0.6189,0.2027,1
Invasion,0.2021,0.3502,0.0634,0.7204,0.3373,0.0712,0.3529,0.8624,0.4995,0.466,1
EMT,0.6988,0.1835,0.8894,0.1023,0.0808,0.6832,0.1053,0.0755,0.7254,0.2496,1
Apoptosis,0.1708,0.3656,0.7234,0.4565,0.4877,0.0123,0.217,0.7839,0.5197,0.0343,1
CellCycleArrest,0.0313,0.8749,0.2398,0.742,0.0122,0.8069,0.2139,0.0936,0.2538,0.6299,1
GF,0.1433,0.2955,0.1567,0.5162,0.3591,0.8638,0.9295,0.3024,0.5623,0.1554,0
TGFbeta,0.8756,0.1213,0.5257,0.9906,0.2342,0.8078,0.4417,0.4592,0.2745,0.327,0
p21,0.6649,0.7226,0.7043,0.3747,0.467,0.9072,0.3971,0.5593,0.1599,0.8786,0
CDH1,0.6472,0.6488,0.4202,0.2831,0.2483,0.4163,0.2268,0.216,0.9175,0.0283,0
CDH2,0.1707,0.819,0.6799,0.3962,0.703,0.4415,0.0194,0.2048,0.2639,0.6601,0
VIM,0.2623,0.6618,0.7967,0.3751,0.0096,0.2413,0.9729,0.1207,0.8613,0.0683,0
TWIST1,0.7862,0.0439,0.5894,0.3178,0.2106,0.56,0.3792,0.753,0.671,0.0847,0
SNAI1,0.9999,0.0788,0.2313,0.6383,0.7678,0.0554,0.2331,0.8204,0.498,0.2656,0
SNAI2,0.5911,0.108,0.66,0.1038,0.1383,0.034,0.0629,0.9452,0.8985,0.1588,0
ZEB1,0.309,0.2461,0.38,0.8171,0.948,0.3709,0.0198,0.7391,0.8198,0.2518,0
ZEB2,0.4346,0.298,0.064,0.4815,0.1142,0.2096,0.3355,0.7198,0.1438,0.8982,0
AKT1,0.523,0.6142,0.7309,0.8745,0.816,0.8278,0.7547,0.8009,0.2661,0.5022,0
DKK1,0.9845,0.705,0.7281,0.4159,0.7733,0.583,0.6205,0.2956,0.8128,0.0063,0
CTNNB1,0.5229,0.4392,0.1387,0.7893,0.2936,0.0055,0.9625,0.7349,0.3542,0.0501,0
NICD,0.9279,0.8821,0.641,0.9931,0.1613,0.5983,0.3924,0.057,0.8606,0.1559,0
p63,0.9022,0.612,0.0055,0.6556,0.6546,0.3605,0.5253,0.7083,0.1767,0.4622,0
p53,0.5705,0.4318,0.3113,0.1083,0.9862,0.5244,0.1333,0.0634,0.7807,0.3522,0
p73,0.7113,0.4434,0.391,0.3968,0.5841,0.1616,0.4047,0.3418,0.1077,0.319,0
miR200,0.1272,0.4189,0.5509,0.9574,0.1153,0.3279,0.392,0.9623,0.1935,0.7884,0
miR203,0.2432,0.1731,0.8555,0.2562,0.5887,0.1386,0.738,0.94,0.1968,0.3276,0
miR34,0.056,0.8135,0.3951,0.416,0.3318,0.1799,0.5741,0.4056,0.8942,0.794,0
AKT2,0.5652,0.3472,0.5577,0.5626,0.2933,0.4772,0.0931,0.9615,0.1862,0.7834,0
ERK,0.6403,0.6889,0.9839,0.882,0.6007,0.7198,0.3772,0.8603,0.8758,0.4333,0
SMAD,0.2284,0.4109,0.1931,0.9506,0.4798,0.6581,0.52,0.1825,0.1869,0.582,0
