gene_name,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,IS_OUTPUT
ECMicroenv,0.9769,0.0708,0.3322,0.8927,0.0972,0.1811,0.6419,0.6395,0.2743,0.3051,0
DNAdamage,0.0015,0.9936,0.4415,0.3651,0.99,0.7969,0.7316,0.6034,0.7162,0.4478,0
Metastasis,0.6345,0.1618,0.6928,0.3128,0.0555,0.6633,0.8728,0.4277,0.9635,0.4018,1
Migration,0.8052,0.296,0.0303,0.5911,0.7451,0.7566,0.2933,0.244,0.7758,0.2803,1
Invasion,0.3583,0.7468,0.9355,0.3338,0.7162,0.1959,0.8287,0.0697,0.6098,0.932,1
EMT,0.2704,0.7224,0.6526,0.9824,0.7351,0.5815,0.0813,0.7548,0.59,0.0687,1
Apoptosis,0.1901,0.4792,0.7739,0.0219,0.0133,0.1545,0.4892,0.4364,0.2576,0.9821,1
CellCycleArrest,0.9406,0.7602,0.1744,0.3729,0.3509,0.0517,0.0479,0.8001,0.908,0.0826,1
GF,0.1248,0.8574,0.1011,0.6105,0.8738,0.9408,0.2915,0.3491,0.5843,0.0338,0
TGFbeta,0.3517,0.3494,0.331,0.6731,0.8794,0.9962,0.3209,0.6964,0.7117,0.4821,0
p21,0.4621,0.6327,0.5855,0.2572,0.8111,0.8908,0.4614,0.9376,0.4634,0.9184,0
CDH1,0.4553,0.6217,0.8714,0.5552,0.7687,0.2932,0.7348,0.7821,0.4878,0.1049,0
CDH2,0.9192,0.1365,0.4644,0.2732,0.1868,0.7889,0.9702,0.8433,0.4885,0.5748,0
VIM,0.3423,0.0805,0.5868,0.27,0.609,0.4867,0.0991,0.661,0.665,0.9113,0
TWIST1,0.067,0.8167,0.1646,0.1074,0.3339,0.5082,0.5738,0.1812,0.9861,0.6078,0
SNAI1,0.6637,0.6897,0.9017,0.5924,0.0991,0.5106,0.7152,0.9668,0.2126,0.2575,0
SNAI2,0.3132,0.0933,0.5595,0.7579,0.1056,0.5049,0.7823,0.8275,0.1224,0.0589,0
ZEB1,0.0793,0.8479,0.0518,0.6224,0.2873,0.3037,0.4461,0.68,0.7386,0.1335,0
ZEB2,0.0053,0.2212,0.532,0.4996,0.7358,0.3391,0.1196,0.2247,0.5245,0.0323,0
AKT1,0.841,0.0081,0.4494,0.3357,0.0346,0.3223,0.7372,0.4865,0.4825,0.6762,0
DKK1,0.5716,0.2977,0.5941,0.3911,0.6393,0.0265,0.0243,0.3158,0.754,0.6447,0
CTNNB1,0.8282,0.9324,0.2422,0.7323,0.3818,0.4535,0.4539,0.3789,0.241,0.216,0
NICD,0.8709,0.1746,0.4367,0.031,0.6952,0.9572,0.0777,0.5541,0.5052,0.8918,0
p63,0.5242,0.666,0.8648,0.2727,0.7956,0.0547,0.4837,0.5073,0.6588,0.1035,0
p53,0.4663,0.8137,0.4461,0.8103,0.0122,0.9255,0.5726,0.8666,0.4469,0.4766,0
p73,0.1932,0.9227,0.7083,0.4821,0.3747,0.2928,0.263,0.0007,0.1808,0.8669,0
miR200,0.4555,0.0781,0.3692,0.2528,0.3999,0.6573,0.736,0.0473,0.0612,0.697,0
miR203,0.3498,0.4506,0.17,0.7072,0.3549,0.6841,0.1343,0.9512,0.8024,0.2474,0
miR34,0.8558,0.4002,0.9831,0.18,0.4227,0.6612,0.863,0.9305,0.2871,0.9669,0
AKT2,0.07,0.2111,0.6897,0.3357,0.8335,0.6062,0.6109,0.3097,0.2056,0.8565,0
ERK,0.1424,0.15,0.3377,0.5587,0.9143,0.0434,0.0853,0.4063,0.7291,0.1816,0
SMAD,0.5137,0.9688,0.9058,0.4035,0.6165,0.6601,0.5683,0.9438,0.8982,0.5504,0
