gene_name,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,IS_OUTPUT
ECMicroenv,0.9851,0.3726,0.4173,0.1813,0.4427,0.6987,0.71,0.0232,0.1515,0.7217,0
DNAdamage,0.7096,0.2555,0.6493,0.2879,0.783,0.3326,0.7733,0.4269,0.7004,0.9732,0
Metastasis,0.9467,0.596,0.1178,0.2326,0.6611,0.5107,0.2961,0.8886,0.1767,0.2316,1
Migration,0.3538,0.9803,0.4014,0.2662,0.8386,0.5164,0.7932,0.7029,0.2779,0.0159,1
Invasion,0.3959,0.7427,0.2049,0.2666,0.2771,0.8372,0.9212,0.5827,0.0597,0.2314,1
EMT,0.5755,0.8743,0.2534,0.5247,0.0331,0.3865,0.3197,0.5807,0.5256,0.9882,1
Apoptosis,0.5482,0.1742,0.0771,0.558,0.392,0.2285,0.6464,0.0126,0.159,0.8142,1
CellCycleArrest,0.0697,0.175,0.181,0.9804,0.764,0.9424,0.7741,0.1857,0.8592,0.04,1
GF,0.9416,0.0133,0.2426,0.658,0.481,0.3362,0.9453,0.8863,0.4,0.6049,0
TGFbeta,0.8075,0.2406,0.9254,0.4062,0.7852,0.413,0.2902,0.8539,0.7083,0.4418,0
p21,0.6408,0.5858,0.4099,0.2372,0.9031,0.4267,0.8701,0.9376,0.7353,0.0398,0
CDH1,0.573,0.3819,0.9639,0.9227,0.0146,0.8381,0.5454,0.3814,0.7395,0.847,0
CDH2,0.8546,0.2217,0.2123,0.6929,0.6172,0.7257,0.6345,0.6963,0.4654,0.2495,0
VIM,0.6584,0.7135,0.7824,0.4415,0.1752,0.6774,0.8372,0.6002,0.5511,0.295,0
TWIST1,0.3073,0.6521,0.856,0.5614,0.6547,0.2703,0.7789,0.3602,0.8226,0.5612,0
SNAI1,0.6995,0.247,0.2636,0.5722,0.9412,0.9159,0.7373,0.762,0.0826,0.6479,0
SNAI2,0.859,0.4233,0.2062,0.9037,0.2262,0.2488,0.1075,0.4377,0.4529,0.7557,0
ZEB1,0.9904,0.5405,0.5458,0.0266,0.4894,0.4839,0.7933,0.5201,0.5395,0.851,0
ZEB2,0.8548,0.6225,0.1736,0.5675,0.2034,0.9636,0.5546,0.917,0.4107,0.9191,0
AKT1,0.3428,0.7235,0.17,0.5176,0.284,0.4716,0.1394,0.4832,0.1847,0.2171,0
DKK1,0.8052,0.6449,1.0,0.2802,0.2441,0.2771,0.0548,0.1317,0.1481,0.1801,0
CTNNB1,0.1434,0.565,0.4511,0.4365,0.111,0.636,0.4479,0.2362,0.1738,0.0445,0
NICD,0.9203,0.2499,0.2539,0.0622,0.297,0.2616,0.6962,0.4939,0.1245,0.6105,0
p63,0.0593,0.0561,0.6224,0.5857,0.86,0.1097,0.3596,0.8644,0.9421,0.5122,0
p53,0.5747,0.2406,0.2597,0.0561,0.1735,0.7811,0.8115,0.5803,0.4104,0.6927,0
p73,0.1351,0.8904,0.8917,0.3381,0.3312,0.5512,0.453,0.7442,0.2275,0.6417,0
miR200,0.7787,0.8901,0.3883,0.7309,0.994,0.4597,0.6603,0.5947,0.1744,0.1839,0
miR203,0.8153,0.8502,0.4689,0.515,0.1977,0.395,0.5864,0.8005,0.6818,0.5861,0
miR34,0.2747,0.1787,0.4002,0.2169,0.3353,0.9,0.9209,0.9627,0.7907,0.6801,0
AKT2,0.9754,0.9663,0.2308,0.4558,0.6962,0.8714,0.7086,0.936,0.9005,0.2123,0
ERK,0.4819,0.3924,0.2593,0.1899,0.5724,0.4055,0.5414,0.3769,0.1461,0.5832,0
SMAD,0.2629,0.1877,0.1977,0.2023,0.2864,0.1114,0.455,0.1785,0.5336,0.3994,0
