gene_name,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,IS_OUTPUT
ECMicroenv,0.9546,0.947,0.1395,0.2792,0.5778,0.8709,0.5889,0.7576,0.3819,0.1401,0
DNAdamage,0.4631,0.1441,0.2993,0.7252,0.068,0.5327,0.0708,0.0326,0.5915,0.241,0
Metastasis,0.3197,0.9392,0.0424,0.9768,0.1823,0.7997,0.0044,0.9753,0.483,0.647,1
Migration,0.2474,0.7394,0.9176,0.3076,0.5186,0.8482,0.7452,0.9916,0.2423,0.1361,1
Invasion,0.0508,0.0877,0.6897,0.5196,0.9599,0.1854,0.5649,0.0664,0.7674,0.8509,1
EMT,0.9875,0.9003,0.0439,0.9111,0.6504,0.0431,0.8251,0.0468,0.0814,0.7481,1
Apoptosis,0.6519,0.4989,0.5648,0.0912,0.8393,0.874,0.5338,0.495,0.2806,0.9615,1
CellCycleArrest,0.4799,0.9845,0.2198,0.8048,0.9162,0.7679,0.5161,0.5774,0.3476,0.2559,1
GF,0.1087,0.4059,0.6676,0.8129,0.5092,0.029,0.258,0.6138,0.777,0.863,0
TGFbeta,0.2612,0.9782,0.066,0.6912,0.4861,0.7097,0.9262,0.1659,0.5254,0.9289,0
p21,0.046,0.1038,0.9115,0.1154,0.6244,0.0478,0.2822,0.5635,0.8469,0.5442,0
CDH1,0.6684,0.3273,0.4899,0.7458,0.2424,0.145,0.0481,0.9673,0.4083,0.9181,0
CDH2,0.2007,0.7072,0.8721,0.5119,0.8216,0.9954,0.5116,0.6305,0.6669,0.4998,0
VIM,0.7704,0.1049,0.6996,0.3339,0.9914,0.8275,0.7989,0.5452,0.7819,0.2324,0
TWIST1,0.1299,0.7929,0.5759,0.2677,0.9449,0.2685,0.7496,0.4031,0.3025,0.1667,0
SNAI1,0.5211,0.5668,0.4861,0.3376,0.2459,0.5558,0.4899,0.4765,0.5005,0.5737,0
SNAI2,0.8726,0.906,0.7339,0.8733,0.252,0.6342,0.5289,0.1659,0.9887,0.7503,0
ZEB1,0.2281,0.8384,0.3529,0.0293,0.7378,0.2399,0.3717,0.7668,0.9648,0.3712,0
ZEB2,0.109,0.7284,0.1255,0.5341,0.2723,0.8114,0.3857,0.5038,0.261,0.8584,0
AKT1,0.4732,0.0688,0.4732,0.6426,0.4923,0.5428,0.8893,0.0293,0.1021,0.3035,0
DKK1,0.6716,0.7574,0.9772,0.2587,0.3745,0.4732,0.0684,0.9645,0.2758,0.815,0
CTNNB1,0.2759,0.5049,0.0032,0.6238,0.3704,0.1621,0.8556,0.1576,0.2207,0.9045,0
NICD,0.5136,0.8202,0.9013,0.4332,0.8665,0.8643,0.4138,0.4105,0.938,0.2906,0
p63,0.8743,0.7623,0.0641,0.8359,0.7328,0.6802,0.349,0.8046,0.6399,0.8138,0
p53,0.05,0.6881,0.6362,0.113,0.7131,0.7157,0.6019,0.0864,0.2665,0.7627,0
p73,0.9921,0.4452,0.5808,0.5667,0.6712,0.0895,0.5526,0.6171,0.9651,0.1928,0
miR200,0.1519,0.7557,0.2188,0.3768,0.8925,0.3801,0.1937,0.4795,0.7938,0.6356,0
miR203,0.1513,0.8178,0.6975,0.2557,0.2627,0.5432,0.6434,0.8543,0.4863,0.585,0
miR34,0.7569,0.6796,0.7896,0.4245,0.1145,0.9574,0.7391,0.1851,0.4959,0.0855,0
AKT2,0.9818,0.972,0.3681,0.3133,0.2835,0.4889,0.2336,0.971,0.4193,0.6487,0
ERK,0.0657,0.5774,0.9945,0.5251,0.6517,0.3937,0.9695,0.711,0.3928,0.5688,0
SMAD,0.5205,0.1733,0.3858,0.932,0.9458,0.4261,0.1904,0.1836,0.267,0.4215,0
