gene_name,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,IS_OUTPUT
ECMicroenv,0.5208,0.1415,0.375,0.6658,0.792,0.7645,0.3188,0.8391,0.1863,0.5555,0
DNAdamage,0.0653,0.041,0.688,0.1409,0.6381,0.3991,0.0033,0.9973,0.0947,0.0105,0
Metastasis,0.4657,0.4057,0.4831,0.7351,0.2548,0.9599,0.7071,0.2251,0.115,0.654,1
Migration,0.2376,0.9742,0.3235,0.4806,0.5294,0.5238,0.1788,0.4359,0.864,0.053,1
Invasion,0.96,0.2385,0.1267,0.2153,0.9681,0.2498,0.6934,0.1929,0.0739,0.3855,1
EMT,0.5822,0.9059,0.7651,0.7478,0.1667,0.9009,0.1092,0.1194,0.1417,0.53,1
Apoptosis,0.7721,0.355,0.6411,0.6418,0.6431,0.0229,0.3196,0.2396,0.2581,0.7988,1
CellCycleArrest,0.444,0.6719,0.9146,0.7521,0.1238,0.365,0.7984,0.7295,0.5915,0.9199,1
GF,0.785,0.4451,0.789,0.083,0.6258,0.1207,0.2715,0.5153,0.5412,0.9285,0
TGFbeta,0.6922,0.7855,0.5258,0.2199,0.1195,0.6694,0.4215,0.6654,0.7599,0.2077,0
p21,0.1693,0.4075,0.4882,0.6774,0.6083,0.0573,0.2292,0.8965,0.4165,0.8624,0
CDH1,0.6498,0.6469,0.4477,0.0395,0.4861,0.1019,0.2745,0.8125,0.2194,0.5401,0
CDH2,0.8231,0.3573,0.4322,0.194,0.993,0.4545,0.0228,0.835,0.3239,0.3659,0
VIM,0.4746,0.4998,0.038,0.431,0.7027,0.2828,0.3046,0.9664,0.9647,0.8125,0
TWIST1,0.854,0.3525,0.3849,0.7327,0.8938,0.5449,0.0661,0.4154,0.9747,0.622,0
SNAI1,0.5142,0.6661,0.2212,0.469,0.6948,0.0175,0.9114,0.4104,0.787,0.9435,0
SNAI2,0.0148,0.6736,0.4467,0.6359,0.4794,0.224,0.6326,0.405,0.7031,0.7433,0
ZEB1,0.6701,0.2415,0.2769,0.7739,0.8064,0.0232,0.1721,0.4378,0.1531,0.5809,0
ZEB2,0.0811,0.9473,0.9684,0.0679,0.5189,0.5812,0.83,0.6224,0.8851,0.2535,0
AKT1,0.9039,0.2848,0.8706,0.8387,0.7915,0.7927,0.6271,0.116,0.6003,0.2149,0
DKK1,0.605,0.6191,0.898,0.1869,0.6745,0.6125,0.729,0.067,0.2989,0.1289,0
CTNNB1,0.3279,0.1455,0.7917,0.2295,0.806,0.2093,0.2388,0.7835,0.5951,0.0409,0
NICD,0.5878,0.5041,0.7944,0.2429,0.3045,0.672,0.0381,0.4679,0.2283,0.0369,0
p63,0.4053,0.7268,0.2738,0.6519,0.6978,0.5869,0.164,0.3947,0.4439,0.0994,0
p53,0.5161,0.0935,0.4973,0.2465,0.0812,0.7238,0.2691,0.2843,0.3033,0.8178,0
p73,0.5403,0.4956,0.1682,0.3872,0.3842,0.4034,0.8236,0.6471,0.4881,0.7034,0
miR200,0.5457,0.2882,0.1273,0.7714,0.6968,0.596,0.4746,0.0498,0.3882,0.1759,0
miR203,0.4356,0.9848,0.1328,0.3863,0.831,0.0657,0.5542,0.1587,0.9431,0.6114,0
miR34,0.1845,0.2412,0.8285,0.421,0.5263,0.6175,0.9174,0.7827,0.0686,0.7217,0
AKT2,0.7294,0.7408,0.5255,0.163,0.3342,0.2634,0.2774,0.9977,0.8843,0.7397,0
ERK,0.9601,0.476,0.4599,0.634,0.6965,0.7035,0.7065,0.3697,0.8467,0.1644,0
SMAD,0.0818,0.037,0.6476,0.7288,0.7257,0.3012,0.9575,0.9016,0.1242,0.568,0
