gene_name,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,IS_OUTPUT
ECMicroenv,0.5647,0.54,0.2816,0.3077,0.8988,0.527,0.414,0.6836,0.0646,0.4048,0
DNAdamage,0.1741,0.946,0.4852,0.9097,0.7376,0.6266,0.5329,0.6807,0.726,0.2349,0
Metastasis,0.0082,0.9173,0.272,0.7672,0.2986,0.447,0.2536,0.0582,0.3522,0.4593,1
Migration,0.5551,0.1744,0.1836,0.471,0.3082,0.8305,0.4094,0.6625,0.8175,0.9271,1
Invasion,0.4244,0.6881,0.9934,0.2596,0.1806,0.3462,0.2651,0.3957,0.3133,0.3309,1
EMT,0.1895,0.9732,0.8571,0.0633,0.8964,0.354,0.6888,0.0487,0.2825,0.1409,1
Apoptosis,0.0969,0.1797,0.899,0.3169,0.2492,0.8814,0.4894,0.7813,0.2293,0.0246,1
CellCycleArrest,0.9532,0.9877,0.0969,0.9527,0.098,0.7544,0.1213,0.7732,0.4932,0.8295,1
GF,0.7347,0.9388,0.8023,0.9862,0.3386,0.6659,0.7155,0.3386,0.2768,0.4493,0
TGFbeta,0.3041,0.2225,0.4169,0.7435,0.2531,0.5948,0.8278,0.4759,0.3844,0.8922,0
p21,0.6735,0.4309,0.8409,0.0922,0.2766,0.6357,0.1254,0.4552,0.6591,0.378,0
CDH1,0.2032,0.3614,0.725,0.8499,0.5578,0.5181,0.5921,0.4652,0.5772,0.9484,0
CDH2,0.039,0.8609,0.4779,0.0498,0.8351,0.2073,0.0294,0.1889,0.4563,0.8414,0
VIM,0.29,0.4541,0.6474,0.0316,0.1993,0.6422,0.7612,0.6051,0.3865,0.9516,0
TWIST1,0.5887,0.8911,0.7669,0.0048,0.1965,0.4392,0.4303,0.0967,0.6692,0.3023,0
SNAI1,0.4323,0.887,0.3911,0.6634,0.0824,0.0157,0.3494,0.1149,0.0361,0.417,0
SNAI2,0.17,0.2955,0.0438,0.5516,0.8497,0.1222,0.9727,0.7196,0.1911,0.3514,0
ZEB1,0.3563,0.5215,0.4364,0.2487,0.6187,0.2662,0.8841,0.0089,0.2635,0.4241,0
ZEB2,0.1997,0.8213,0.9251,0.3109,0.7762,0.4514,0.1198,0.009,0.5253,0.3691,0
AKT1,0.7473,0.1222,0.1876,0.0411,0.0858,0.3541,0.2771,0.2899,0.6654,0.5923,0
DKK1,0.7324,0.2326,0.8907,0.2022,0.8924,0.426,0.3885,0.1036,0.7088,0.3279,0
CTNNB1,0.2413,0.4285,0.8831,0.2168,0.1743,0.5757,0.15,0.561,0.6213,0.6723,0
NICD,0.0832,0.7097,0.8829,0.1613,0.7541,0.8617,0.5795,0.9825,0.0274,0.8506,0
p63,0.8458,0.5813,0.7738,0.6123,0.6835,0.011,0.6734,0.0595,0.9892,0.4972,0
p53,0.1659,0.3017,0.1743,0.339,0.1989,0.753,0.5803,0.0161,0.557,0.8456,0
p73,0.9123,0.5241,0.6944,0.8006,0.7486,0.7836,0.0568,0.4216,0.2422,0.258,0
miR200,0.6497,0.6391,0.8535,0.7927,0.3658,0.3254,0.3308,0.7828,0.7922,0.5852,0
miR203,0.7398,0.3711,0.0245,0.981,0.8671,0.9481,0.785,0.9524,0.2063,0.6121,0
miR34,0.7625,0.1428,0.3183,0.1775,0.0498,0.3762,0.6693,0.2718,0.4247,0.4788,0
AKT2,0.3728,0.1607,0.7592,0.1585,0.0053,0.3446,0.2295,0.891,0.2234,0.182,0
ERK,0.7252,0.8557,0.8544,0.7608,0.3278,0.7976,0.7318,0.284,0.8768,0.6658,0
SMAD,0.9018,0.2016,0.1479,0.5568,0.628,0.5789,0.2291,0.027,0.6841,0.7977,0
