gene_name,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,IS_OUTPUT
ECMicroenv,0.9593,0.8856,0.4286,0.0814,0.8067,0.0355,0.312,0.884,0.2432,0.104,0
DNAdamage,0.9158,0.1922,0.8463,0.1863,0.8384,0.1605,0.3248,0.0971,0.221,0.9698,0
Metastasis,0.464,0.1254,0.6494,0.5703,0.7265,0.1014,0.4339,0.3987,0.9964,0.9373,1
Migration,0.8877,0.6701,0.5292,0.4332,0.6612,0.7141,0.103,0.6238,0.8068,0.2023,1
Invasion,0.3137,0.849,0.5833,0.2887,0.6619,0.536,0.3757,0.1029,0.8726,0.9252,1
EMT,0.6554,0.109,0.5572,0.7849,0.2161,0.817,0.5105,0.0262,0.5404,0.1491,1
Apoptosis,0.2462,0.2135,0.9649,0.6428,0.4688,0.4422,0.1726,0.8062,0.159,0.9605,1
CellCycleArrest,0.0022,0.7953,0.6211,0.6802,0.5388,0.1507,0.65,0.9755,0.0492,0.6567,1
GF,0.3617,0.4271,0.5622,0.6896,0.0789,0.2628,0.6723,0.1073,0.411,0.0212,0
TGFbeta,0.1663,0.0268,0.0793,0.1996,0.7171,0.2737,0.6955,0.3136,0.4613,0.7533,0
p21,0.2163,0.8442,0.6589,0.4516,0.2475,0.304,0.6054,0.6123,0.2346,0.6123,0
CDH1,0.4105,0.9483,0.1442,0.7059,0.0177,0.7122,0.5657,0.576,0.5555,0.6954,0
CDH2,0.5786,0.4264,0.2193,0.6349,0.4843,0.5633,0.4955,0.9826,0.8888,0.8132,0
VIM,0.1275,0.9317,0.1134,0.3854,0.3715,0.2905,0.6767,0.382,0.9904,0.3619,0
TWIST1,0.8076,0.8789,0.1925,0.5205,0.0728,0.0524,0.6088,0.0742,0.0478,0.3377,0
SNAI1,0.2395,0.6838,0.9961,0.0007,0.2712,0.2979,0.3786,0.6126,0.4516,0.8746,0
SNAI2,0.288,0.6001,0.109,0.7095,0.8817,0.1543,0.0869,0.1097,0.1839,0.7421,0
ZEB1,0.4991,0.8749,0.5317,0.4767,0.3818,0.1072,0.6464,0.2424,0.1292,0.3699,0
ZEB2,0.0936,0.0899,0.2671,0.7016,0.1504,0.4573,0.6244,0.453,0.4203,0.4175,0
AKT1,0.1642,0.7534,0.7872,0.0516,0.6847,0.294,0.0145,0.0791,0.6256,0.1305,0
DKK1,0.8287,0.3747,0.4833,0.1655,0.3629,0.1006,0.244,0.7766,0.1547,0.7235,0
CTNNB1,0.228,0.4674,0.7637,0.4033,0.225,0.1869,0.9322,0.3227,0.253,0.2004,0
NICD,0.6757,0.2242,0.7567,0.8975,0.1096,0.7166,0.089,0.0687,0.0348,0.6797,0
p63,0.2999,0.7904,0.9382,0.3245,0.3313,0.0191,0.6404,0.5558,0.7107,0.5137,0
p53,0.7789,0.8579,0.9957,0.6618,0.3152,0.7385,0.3298,0.6355,0.6629,0.6337,0
p73,0.7883,0.0278,0.3478,0.6956,0.8624,0.0999,0.2487,0.723,0.2296,0.1611,0
miR200,0.3811,0.1648,0.3351,0.4427,0.5447,0.943,0.7304,0.4262,0.6188,0.9288,0
miR203,0.8944,0.4523,0.4376,0.1563,0.1399,0.0815,0.9393,0.2636,0.2443,0.9065,0
miR34,0.4543,0.2948,0.9652,0.7407,0.4043,0.9332,0.7916,0.5481,0.4384,0.1165,0
AKT2,0.6426,0.2169,0.9175,0.7176,0.3104,0.4198,0.0075,0.1851,0.2298,0.2119,0
ERK,0.6789,0.8941,0.9629,0.8397,0.8185,0.6982,0.1227,0.579,0.4318,0.3821,0
SMAD,0.0056,0.5491,0.3727,0.5504,0.1847,0.8374,0.8375,0.2838,0.5685,0.1288,0
