gene_name,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,IS_OUTPUT
ECMicroenv,0.0444,0.0488,0.3074,0.9386,0.4153,0.1652,0.2103,0.3563,0.3801,0.5507,0
DNAdamage,0.454,0.6339,0.5207,0.4765,0.7084,0.9119,0.9026,0.9162,0.526,0.0981,0
Metastasis,0.5423,0.9794,0.5699,0.5663,0.605,0.7097,0.0786,0.246,0.2231,0.7652,1
Migration,0.5828,0.7472,0.6576,0.648,0.2289,0.87,0.5424,0.7332,0.9552,0.3519,1
Invasion,0.0279,0.5329,0.8283,0.9475,0.3798,0.4031,0.295,0.393,0.6297,0.9254,1
EMT,0.855,0.7255,0.1492,0.6546,0.9299,0.2664,0.5261,0.11,0.0432,0.5971,1
Apoptosis,0.9533,0.5577,0.9494,0.496,0.6094,0.6524,0.767,0.0509,0.665,0.0033,1
CellCycleArrest,0.4889,0.9385,0.7713,0.6751,0.167,0.8458,0.0004,0.8111,0.5034,0.7833,1
GF,0.3685,0.9451,0.4209,0.9043,0.9594,0.2165,0.6294,0.5424,0.5318,0.2661,0
TGFbeta,0.4,0.3311,0.4255,0.1475,0.387,0.9045,0.9184,0.2728,0.7993,0.9187,0
p21,0.4149,0.7385,0.7113,0.3598,0.9736,0.3205,0.4606,0.7048,0.489,0.8676,0
CDH1,0.361,0.5447,0.1253,0.9523,0.0681,0.7997,0.3276,0.7335,0.6338,0.0766,0
CDH2,0.3674,0.4085,0.3473,0.1302,0.7441,0.9726,0.9758,0.2344,0.8718,0.5119,0
VIM,0.7484,0.6343,0.4865,0.7991,0.9223,0.8729,0.7632,0.0763,0.813,0.1154,0
TWIST1,0.8193,0.7604,0.9197,0.0051,0.2262,0.2898,0.6852,0.9357,0.2486,0.1739,0
SNAI1,0.4868,0.3642,0.18,0.7214,0.5282,0.7657,0.5505,0.0368,0.7056,0.564,0
SNAI2,0.7455,0.7376,0.6715,0.0031,0.585,0.6947,0.8957,0.7487,0.5562,0.4754,0
ZEB1,0.5538,0.0654,0.8896,0.0786,0.7584,0.1974,0.2868,0.0804,0.3687,0.4636,0
ZEB2,0.2771,0.3031,0.5095,0.4425,0.9206,0.8298,0.2226,0.1847,0.1675,0.7159,0
AKT1,0.1801,0.8365,0.7106,0.1588,0.8757,0.2103,0.5812,0.0015,0.2862,0.8513,0
DKK1,0.9696,0.2689,0.5702,0.3466,0.6372,0.7919,0.3295,0.3286,0.6417,0.8021,0
CTNNB1,0.8298,0.105,0.7569,0.8078,0.6094,0.8936,0.2768,0.7089,0.3109,0.0577,0
NICD,0.6962,0.4801,0.5305,0.9949,0.4295,0.3525,0.1659,0.4953,0.4809,0.0058,0
p63,0.5108,0.7545,0.4763,0.4526,0.9232,0.3658,0.3091,0.3072,0.9498,0.8933,0
p53,0.8941,0.1761,0.5062,0.6939,0.9125,0.1878,0.2226,0.2941,0.5396,0.7588,0
p73,0.5216,0.0716,0.0985,0.0215,0.6996,0.0122,0.3363,0.7876,0.6657,0.5083,0
miR200,0.3914,0.0765,0.9246,0.5668,0.272,0.3781,0.3992,0.686,0.7781,0.4222,0
miR203,0.7916,0.554,0.4522,0.062,0.7165,0.0119,0.1076,0.6281,0.5209,0.684,0
miR34,0.9715,0.8643,0.2224,0.7909,0.2573,0.6803,0.6589,0.631,0.1235,0.9389,0
AKT2,0.3469,0.9326,0.0209,0.0039,0.1412,0.6397,0.1772,0.8119,0.3168,0.9136,0
ERK,0.5955,0.343,0.2399,0.2066,0.0059,0.0942,0.2096,0.969,0.783,0.4629,0
SMAD,0.1404,0.4063,0.7031,0.6555,0.6591,0.5161,0.6591,0.6563,0.266,0.6966,0
