gene_name,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,IS_OUTPUT
ECMicroenv,0.3425,0.096,0.8596,0.6591,0.2271,0.4653,0.432,0.7625,0.3952,0.6243,0
DNAdamage,0.5036,0.7881,0.0203,0.9506,0.4068,0.9278,0.5327,0.6424,0.4144,0.0552,0
Metastasis,0.182,0.8107,0.9166,0.6641,0.2466,0.9487,0.5779,0.694,0.5491,0.3926,1
Migration,0.5211,0.2212,0.7006,0.8327,0.7614,0.4686,0.5123,0.2802,0.4955,0.9418,1
Invasion,0.2184,0.7722,0.4096,0.8018,0.02,0.9303,0.6071,0.5045,0.9699,0.0492,1
EMT,0.8469,0.0101,0.7928,0.7449,0.0887,0.4076,0.3172,0.1198,0.612,0.4618,1
Apoptosis,0.3521,0.5842,0.4435,0.8316,0.3925,0.3028,0.901,0.1271,0.376,0.5811,1
CellCycleArrest,0.0025,0.5427,0.3361,0.4036,0.4804,0.1352,0.1345,0.8309,0.9017,0.8865,1
GF,0.3727,0.1799,0.4897,0.8253,0.7101,0.2167,0.2987,0.0697,0.3228,0.321,0
TGFbeta,0.9397,0.0485,0.8935,0.0845,0.1581,0.7133,0.914,0.9695,0.1169,0.4684,0
p21,0.9073,0.9499,0.0259,0.4823,0.6241,0.2938,0.7513,0.3959,0.2714,0.8322,0
CDH1,0.2325,0.1104,0.7443,0.2913,0.5436,0.4914,0.4437,0.8766,0.1224,0.4271,0
CDH2,0.2529,0.4169,0.8019,0.3135,0.1041,0.7724,0.7132,0.0051,0.7225,0.7879,0
VIM,0.9626,0.4075,0.136,0.9242,0.3356,0.5838,0.5184,0.419,0.7711,0.5842,0
TWIST1,0.9772,0.0202,0.1521,0.4291,0.4401,0.2537,0.2747,0.7096,0.7916,0.7136,0
SNAI1,0.7869,0.1027,0.9928,0.2929,0.8471,0.985,0.765,0.6907,0.009,0.1603,0
SNAI2,0.2542,0.2011,0.307,0.2728,0.2898,0.3444,0.1432,0.3816,0.3811,0.903,0
ZEB1,0.6486,0.5392,0.7994,0.9653,0.4642,0.7632,0.2383,0.2698,0.7826,0.9737,0
ZEB2,0.3749,0.1199,0.0055,0.6033,0.7666,0.748,0.7067,0.563,0.5507,0.3886,0
AKT1,0.2488,0.7692,0.1861,0.6995,0.0496,0.0485,0.9682,0.03,0.381,0.7673,0
DKK1,0.8547,0.7301,0.4472,0.7647,0.1305,0.5043,0.6968,0.8718,0.5469,0.9652,0
CTNNB1,0.568,0.093,0.6002,0.306,0.5657,0.6484,0.4702,0.9134,0.8847,0.8842,0
NICD,0.8364,0.8841,0.5247,0.5131,0.2798,0.3585,0.0231,0.32,0.1541,0.2189,0
p63,0.8692,0.9385,0.1749,0.323,0.2813,0.5204,0.5699,0.7211,0.5227,0.7462,0
p53,0.2404,0.8533,0.7772,0.3528,0.0418,0.0988,0.4943,0.435,0.8608,0.5779,0
p73,0.2975,0.0507,0.7247,0.9848,0.71,0.6132,0.7905,0.1489,0.5098,0.1816,0
miR200,0.4266,0.6563,0.4923,0.953,0.5884,0.2148,0.4184,0.4297,0.204,0.4064,0
miR203,0.003,0.4305,0.2765,0.5254,0.9383,0.0743,0.375,0.5116,0.6678,0.3834,0
miR34,0.3503,0.9819,0.0771,0.1467,0.2557,0.7982,0.6618,0.9299,0.3008,0.2934,0
AKT2,0.3107,0.4245,0.7306,0.9999,0.5366,0.4654,0.676,0.1653,0.4366,0.3863,0
ERK,0.9997,0.9669,0.4875,0.466,0.8664,0.396,0.8734,0.5109,0.6027,0.9794,0
SMAD,0.7968,0.0892,0.5318,0.8549,0.2547,0.3527,0.9577,0.0706,0.38,0.1688,0
