gene_name,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,IS_OUTPUT
ECMicroenv,0.989,0.4543,0.9703,0.3104,0.9538,0.7801,0.5535,0.5993,0.9063,0.3522,0
DNAdamage,0.6646,0.0247,0.429,0.9885,0.5201,0.2681,0.6343,0.1891,0.1342,0.9843,0
Metastasis,0.4768,0.0593,0.2321,0.6999,0.3844,0.8615,0.6153,0.8954,0.5594,0.0655,1
Migration,0.3015,0.7316,0.4447,0.6811,0.3632,0.1774,0.5754,0.7138,0.013,0.0455,1
Invasion,0.3258,0.6842,0.6878,0.6436,0.758,0.918,0.6652,0.5983,0.2733,0.7246,1
EMT,0.0363,0.1105,0.8106,0.0469,0.6477,0.8898,0.5967,0.7102,0.9068,0.4047,1
Apoptosis,0.8797,0.1139,0.8358,0.9497,0.155,0.3532,0.8096,0.5467,0.9598,0.9249,1
CellCycleArrest,0.6346,0.5643,0.53,0.8778,0.384,0.4213,0.9753,0.2152,0.8672,0.1166,1
GF,0.6374,0.6254,0.1691,0.9581,0.9892,0.173,0.5131,0.2238,0.4486,0.7456,0
TGFbeta,0.1081,0.4317,0.9135,0.2556,0.4133,0.9445,0.4946,0.6863,0.2606,0.6537,0
p21,0.476,0.8712,0.6824,0.1428,0.0087,0.6441,0.91,0.2767,0.5354,0.6245,0
CDH1,0.9513,0.3469,0.77,0.1696,0.5718,0.3931,0.006,0.6365,0.7458,0.4342,0
CDH2,0.1255,0.3446,0.714,0.6653,0.2834,0.9644,0.5566,0.8772,0.2491,0.4745,0
VIM,0.9482,0.2708,0.5882,0.1682,0.3668,0.5622,0.1171,0.0691,0.652,0.5245,0
TWIST1,0.7317,0.5612,0.8709,0.1206,0.1155,0.6432,0.0191,0.7946,0.6611,0.5841,0
SNAI1,0.4419,0.2514,0.298,0.4131,0.5686,0.797,0.4979,0.8109,0.7355,0.749,0
SNAI2,0.6818,0.5394,0.1816,0.4606,0.7867,0.9065,0.9905,0.3742,0.0622,0.4725,0
ZEB1,0.2703,0.1665,0.5837,0.741,0.7271,0.8723,0.0308,0.028,0.4722,0.9067,0
ZEB2,0.9665,0.1735,0.1277,0.5798,0.9111,0.6216,0.3156,0.738,0.1473,0.6798,0
AKT1,0.1545,0.4158,0.9488,0.597,0.5225,0.9192,0.2171,0.2468,0.3184,0.4457,0
DKK1,0.3352,0.9968,0.7067,0.7386,0.8667,0.3753,0.8647,0.7699,0.9388,0.6544,0
CTNNB1,0.0969,0.0285,0.2223,0.6541,0.8249,0.6529,0.4343,0.0919,0.603,0.2145,0
NICD,0.739,0.6493,0.2051,0.3149,0.2487,0.9864,0.0157,0.7018,0.2478,0.7608,0
p63,0.3384,0.9113,0.6173,0.6673,0.9283,0.4333,0.2906,0.5106,0.6327,0.4746,0
p53,0.9256,0.8017,0.1181,0.6285,0.5627,0.5588,0.7547,0.1585,0.1032,0.1844,0
p73,0.6297,0.8199,0.5323,0.2419,0.0922,0.5583,0.3537,0.8113,0.1381,0.9322,0
miR200,0.62,0.5307,0.1801,0.323,0.5426,0.4393,0.6014,0.1606,0.6816,0.5416,0
miR203,0.757,0.0479,0.0409,0.0391,0.6827,0.4743,0.4126,0.6709,0.5347,0.4577,0
miR34,0.2424,0.2636,0.8716,0.3446,0.5504,0.268,0.1488,0.2656,0.1133,0.7463,0
AKT2,0.6482,0.4199,0.5192,0.2664,0.4698,0.3789,0.027,0.6305,0.2954,0.0767,0
ERK,0.2356,0.15,0.8275,0.5613,0.8592,0.9099,0.3261,0.5394,0.6236,0.0761,0
SMAD,0.2005,0.2422,0.1858,0.288,0.6273,0.3193,0.868,0.1358,0.9005,0.6652,0
