gene_name,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,IS_OUTPUT
ECMicroenv,0.4798,0.5986,0.1407,0.765,0.1761,0.0179,0.7067,0.3936,0.7007,0.6848,0
DNAdamage,0.2027,0.9894,0.6706,0.2249,0.0898,0.1016,0.5906,0.4436,0.5918,0.1752,0
Metastasis,0.0611,0.9226,0.4601,0.7383,0.8938,0.1128,0.3265,0.9662,0.3104,0.1038,1
Migration,0.6743,0.7929,0.4417,0.703,0.8606,0.9904,0.4002,0.9987,0.7758,0.9947,1
Invasion,0.8602,0.4719,0.9481,0.7249,0.3956,0.216,0.2616,0.7647,0.7378,0.7484,1
EMT,0.3822,0.8749,0.9997,0.3388,0.6084,0.9934,0.9051,0.2692,0.0623,0.0429,1
Apoptosis,0.1706,0.0017,0.0496,0.6152,0.6658,0.3781,0.8929,0.8992,0.9117,0.3642,1
CellCycleArrest,0.2384,0.5735,0.452,0.4911,0.1479,0.7153,0.9265,0.0784,0.812,0.6385,1
GF,0.9139,0.8853,0.6424,0.8733,0.99,0.1273,0.1715,0.076,0.3465,0.2278,0
TGFbeta,0.0384,0.6488,0.4459,0.9367,0.4954,0.9993,0.9571,0.8322,0.6536,0.0542,0
p21,0.6651,0.3632,0.3839,0.0398,0.9599,0.0396,0.7659,0.6592,0.6094,0.2559,0
CDH1,0.523,0.6702,0.2879,0.8229,0.8009,0.9242,0.9233,0.9442,0.7822,0.5313,0
CDH2,0.2629,0.6239,0.7903,0.4682,0.3011,0.5936,0.7965,0.6129,0.9245,0.5477,0
VIM,0.4872,0.9314,0.1078,0.5093,0.7833,0.3529,0.3575,0.7613,0.9093,0.1515,0
TWIST1,0.8599,0.8231,0.4193,0.2532,0.855,0.3174,0.4171,0.3934,0.1975,0.3504,0
SNAI1,0.5681,0.4407,0.1934,0.2315,0.0969,0.3086,0.4753,0.8527,0.021,0.543,0
SNAI2,0.3904,0.0039,0.63,0.5176,0.954,0.5481,0.2577,0.9394,0.9331,0.8688,0
ZEB1,0.359,0.4879,0.6023,0.907,0.6688,0.8751,0.5116,0.756,0.0764,0.3332,0
ZEB2,0.5303,0.9969,0.0437,0.4816,0.0596,0.6093,0.2527,0.1163,0.2678,0.7266,0
AKT1,0.6515,0.804,0.598,0.0287,0.5618,0.7935,0.8721,0.5063,0.5548,0.4029,0
DKK1,0.5211,0.5453,0.1491,0.3427,0.9685,0.501,0.3726,0.2239,0.6074,0.0666,0
CTNNB1,0.4604,0.6034,0.8983,0.1896,0.4797,0.3786,0.6677,0.9294,0.1516,0.1038,0
NICD,0.4125,0.4278,0.9945,0.7975,0.8416,0.6745,0.9189,0.9433,0.974,0.3195,0
p63,0.9014,0.1749,0.8166,0.9619,0.8833,0.4034,0.6203,0.3955,0.2858,0.7667,0
p53,0.4402,0.6171,0.0191,0.6635,0.0286,0.7851,0.7453,0.8952,0.0709,0.5277,0
p73,0.7285,0.5515,0.4711,0.5727,0.7292,0.0314,0.7077,0.7854,0.2085,0.0732,0
miR200,0.5383,0.3408,0.796,0.5195,0.8627,0.5803,0.334,0.7644,0.6322,0.4011,0
miR203,0.2762,0.7022,0.9186,0.8365,0.1588,0.3932,0.2132,0.3651,0.1707,0.6684,0
miR34,0.5763,0.8319,0.7078,0.7619,0.5853,0.4722,0.5306,0.9698,0.2361,0.4872,0
AKT2,0.7982,0.2586,0.6326,0.7902,0.4832,0.9659,0.765,0.8445,0.3068,0.5676,0
ERK,0.9069,0.5686,0.0391,0.9932,0.0696,0.4994,0.2392,0.0565,0.867,0.4178,0
SMAD,0.3198,0.7689,0.8748,0.7955,0.8249,0.2047,0.7696,0.7979,0.0971,0.2801,0
