gene_name,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,IS_OUTPUT
ECMicroenv,0.4372,0.3003,0.6207,0.6072,0.0799,0.431,0.0359,0.7904,0.8337,0.5599,0
DNAdamage,0.3616,0.8187,0.13,0.1654,0.5104,0.1389,0.7645,0.6476,0.0637,0.6588,0
Metastasis,0.2969,0.7599,0.6217,0.0025,0.2041,0.864,0.5385,0.9451,0.167,0.4224,1
Migration,0.5162,0.588,0.2364,0.3961,0.9652,0.4038,0.9823,0.8812,0.7174,0.1739,1
Invasion,0.4143,0.3499,0.3565,0.2181,0.3626,0.0713,0.5938,0.6611,0.3789,0.8428,1
EMT,0.4967,0.3067,0.7951,0.2018,0.5592,0.9962,0.4563,0.8219,0.4604,0.5931,1
Apoptosis,0.3913,0.9338,0.1772,0.5214,0.7217,0.3376,0.1566,0.5174,0.5109,0.4802,1
CellCycleArrest,0.5116,0.0231,0.5826,0.653,0.1757,0.1553,0.5621,0.4287,0.4569,0.6262,1
GF,0.1481,0.5638,0.2946,0.7644,0.6724,0.0939,0.8258,0.1819,0.1716,0.7008,0
TGFbeta,0.4719,0.4319,0.6945,0.9701,0.6158,0.3993,0.1212,0.4824,0.879,0.4501,0
p21,0.7609,0.5671,0.7591,0.0492,0.2647,0.837,0.0104,0.3327,0.9038,0.9715,0
CDH1,0.7857,0.5483,0.7261,0.2599,0.9157,0.0581,0.8124,0.2431,0.0767,0.4982,0
CDH2,0.2826,0.2893,0.1043,0.4678,0.2637,0.0106,0.8676,0.8633,0.5598,0.6639,0
VIM,0.5491,0.8741,0.355,0.9116,0.392,0.0637,0.0642,0.5353,0.0814,0.9119,0
TWIST1,0.1884,0.1047,0.7001,0.0386,0.2511,0.7105,0.8531,0.7477,0.6852,0.3443,0
SNAI1,0.352,0.5189,0.4783,0.799,0.7634,0.5583,0.2881,0.0176,0.7269,0.1382,0
SNAI2,0.0693,0.6115,0.5046,0.4755,0.8119,0.2327,0.5969,0.4334,0.5009,0.586,0
ZEB1,0.7221,0.1572,0.1547,0.0166,0.2377,0.0282,0.4268,0.3514,0.5733,0.8782,0
ZEB2,0.9873,0.9257,0.7011,0.8514,0.7627,0.9532,0.2511,0.676,0.3231,0.3893,0
AKT1,0.4684,0.1032,0.0989,0.0773,0.4314,0.1632,0.9832,0.5857,0.5244,0.9071,0
DKK1,0.173,0.1788,0.2272,0.7656,0.1762,0.7012,0.4939,0.5361,0.7495,0.05,0
CTNNB1,0.4154,0.1587,0.0321,0.5709,0.1377,0.0191,0.7675,0.396,0.7713,0.1803,0
NICD,0.0512,0.7142,0.7997,0.2586,0.4521,0.445,0.5868,0.9967,0.897,0.9787,0
p63,0.378,0.5346,0.9577,0.2277,0.8389,0.4768,0.0613,0.8102,0.8425,0.2422,0
p53,0.6246,0.0952,0.1679,0.6862,0.8359,0.5735,0.8552,0.9392,0.3724,0.2847,0
p73,0.4238,0.4882,0.0595,0.6041,0.5352,0.4148,0.1614,0.3545,0.4308,0.695,0
miR200,0.9908,0.1738,0.5929,0.8571,0.7363,0.0208,0.2061,0.4282,0.135,0.1786,0
miR203,0.6701,0.7712,0.7734,0.7263,0.3136,0.7222,0.9271,0.0483,0.0937,0.4324,0
miR34,0.7387,0.4902,0.5463,0.2566,0.6503,0.7079,0.9077,0.234,0.9051,0.4495,0
AKT2,0.1807,0.8471,0.537,0.7439,0.8603,0.0312,0.6309,0.7706,0.5105,0.5305,0
ERK,0.2019,0.8664,0.1465,0.7938,0.7012,0.8707,0.6596,0.3055,0.6346,0.0249,0
SMAD,0.1853,0.0615,0.8666,0.4951,0.7443,0.8329,0.3589,0.4472,0.6108,0.1036,0
