gene_name,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,IS_OUTPUT
ECMicroenv,0.2219,0.538,0.2374,0.3956,0.9989,0.8757,0.3279,0.3824,0.9684,0.6954,0
DNAdamage,0.9081,0.9171,0.4978,0.7707,0.9768,0.6611,0.9905,0.3813,0.6489,0.368,0
Metastasis,0.7386,0.1089,0.119,0.4742,0.321,0.9948,0.5558,0.2921,0.6133,0.3699,1
Migration,0.6479,0.5971,0.7935,0.0795,0.3678,0.9919,0.1551,0.1716,0.2017,0.0071,1
Invasion,0.5757,0.511,0.5811,0.9839,0.2021,0.9309,0.0213,0.9436,0.0827,0.1194,1
EMT,0.4536,0.6796,0.0579,0.9761,0.0745,0.2618,0.741,0.2114,0.8785,0.2523,1
Apoptosis,0.8301,0.3294,0.9424,0.7103,0.7109,0.3221,0.621,0.6615,0.1753,0.303,1
CellCycleArrest,0.8112,0.3007,0.9312,0.644,0.3557,0.7441,0.1005,0.3195,0.2498,0.1983,1
GF,0.5304,0.8061,0.2621,0.9817,0.3331,0.4517,0.1982,0.7398,0.576,0.0065,0
TGFbeta,0.4598,0.3657,0.2193,0.2821,0.5231,0.4981,0.3338,0.1811,0.5401,0.0592,0
p21,0.8976,0.6896,0.1219,0.0901,0.5767,0.2539,0.0239,0.8083,0.4425,0.1644,0
CDH1,0.9251,0.0699,0.932,0.5274,0.0328,0.2659,0.8221,0.5446,0.7204,0.7679,0
CDH2,0.9807,0.3483,0.4434,0.6512,0.3461,0.6002,0.8901,0.806,0.4355,0.3142,0
VIM,0.1763,0.2819,0.8703,0.7781,0.2599,0.868,0.4171,0.4933,0.8218,0.0424,0
TWIST1,0.3672,0.7506,0.8418,0.123,0.3366,0.1041,0.9778,0.7197,0.5064,0.6117,0
SNAI1,0.014,0.3641,0.4663,0.3073,0.4798,0.0104,0.4155,0.3206,0.4452,0.4855,0
SNAI2,0.7894,0.6291,0.5002,0.8333,0.652,0.4647,0.2473,0.7009,0.2659,0.864,0
ZEB1,0.2621,0.2523,0.7321,0.1297,0.2746,0.0098,0.0103,0.0429,0.0864,0.8132,0
ZEB2,0.5472,0.767,0.7217,0.407,0.3842,0.3828,0.8499,0.0043,0.8107,0.2729,0
AKT1,0.6625,0.5167,0.8707,0.4896,0.9195,0.348,0.7649,0.8874,0.629,0.4093,0
DKK1,0.5293,0.6876,0.875,0.8883,0.5004,0.2864,0.2221,0.2555,0.4926,0.9894,0
CTNNB1,0.2059,0.1187,0.4869,0.6345,0.5947,0.5212,0.0974,0.7945,0.0417,0.1939,0
NICD,0.286,0.5317,0.3001,0.5314,0.4626,0.0666,0.2244,0.7075,0.4896,0.446,0
p63,0.0104,0.3977,0.3391,0.9072,0.0107,0.1272,0.008,0.2296,0.5002,0.1683,0
p53,0.1568,0.7868,0.2991,0.7369,0.6547,0.143,0.6498,0.4463,0.2585,0.3982,0
p73,0.2827,0.7532,0.728,0.4519,0.7207,0.4311,0.9622,0.5521,0.2333,0.9201,0
miR200,0.1747,0.6036,0.0283,0.9056,0.7197,0.9101,0.8155,0.3497,0.5999,0.2196,0
miR203,0.5701,0.6965,0.6685,0.2277,0.9023,0.8335,0.5207,0.9933,0.8526,0.0129,0
miR34,0.6007,0.1868,0.5168,0.3025,0.2064,0.461,0.465,0.1346,0.9324,0.8549,0
AKT2,0.8312,0.2902,0.9482,0.8805,0.2524,0.5729,0.4473,0.0708,0.696,0.5941,0
ERK,0.7197,0.6896,0.5627,0.6586,0.8356,0.6234,0.1575,0.6794,0.41,0.6935,0
SMAD,0.6733,0.6378,0.4372,0.3616,0.8547,0.9439,0.0368,0.0652,0.0516,0.3169,0
