gene_name,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,IS_OUTPUT
ECMicroenv,0.0104,0.5878,0.5748,0.6766,0.3431,0.376,0.4155,0.4639,0.8496,0.5629,0
DNAdamage,0.5262,0.5217,0.5656,0.1961,0.5765,0.0818,0.6705,0.8629,0.1544,0.8044,0
Metastasis,0.1212,0.1681,0.894,0.317,0.1499,0.9541,0.2012,0.7263,0.3409,0.9724,1
Migration,0.1881,0.2752,0.0886,0.6815,0.9834,0.4486,0.7419,0.7128,0.1189,0.4272,1
Invasion,0.9882,0.0662,0.8609,0.1327,0.2827,0.6691,0.1164,0.8415,0.1003,0.6641,1
EMT,0.0599,0.5665,0.5832,0.3416,0.3797,0.6932,0.9999,0.918,0.3878,0.7096,1
Apoptosis,0.0546,0.0804,0.7074,0.0922,0.1332,0.2887,0.0074,0.1167,0.4045,0.0105,1
CellCycleArrest,0.2336,0.647,0.1202,0.3865,0.16,0.2801,0.7608,0.5736,0.534,0.3403,1
GF,0.7434,0.5,0.058,0.4137,0.3425,0.6148,0.0853,0.3217,0.4259,0.9967,0
TGFbeta,0.1779,0.724,0.6264,0.9712,0.6261,0.7232,0.1681,0.8727,0.4092,0.2538,0
p21,0.1916,0.1152,0.743,0.8762,0.7202,0.2048,0.58,0.4179,0.2148,0.9209,0
CDH1,0.1922,0.9623,0.5649,0.1966,0.6491,0.5983,0.8698,0.8438,0.3857,0.9687,0
CDH2,0.7553,0.5454,0.1863,0.2121,0.165,0.1825,0.4259,0.1716,0.1346,0.5152,0
VIM,0.8552,0.563,0.2661,0.5904,0.5135,0.2992,0.031,0.0375,0.2259,0.6598,0
TWIST1,0.6937,0.1474,0.2014,0.0164,0.3521,0.199,0.5695,0.8102,0.1245,0.4857,0
SNAI1,0.5054,0.0655,0.6015,0.4459,0.2464,0.1252,0.5316,0.2088,0.7078,0.5762,0
SNAI2,0.9167,0.8934,0.1839,0.7293,0.2246,0.2075,0.8707,0.993,0.5305,0.9116,0
ZEB1,0.3524,0.4129,0.7015,0.5315,0.0259,0.6485,0.0085,0.6328,0.7886,0.8877,0
ZEB2,0.2786,0.6834,0.376,0.2486,0.7872,0.3547,0.2556,0.9622,0.5031,0.0899,0
AKT1,0.7967,0.2516,0.4626,0.8274,0.8167,0.121,0.9022,0.4925,0.5095,0.0107,0
DKK1,0.1627,0.4958,0.9033,0.3945,0.0848,0.4324,0.2002,0.2464,0.6952,0.8222,0
CTNNB1,0.9792,0.7022,0.9678,0.335,0.5808,0.7253,0.9354,0.9588,0.0857,0.6283,0
NICD,0.8789,0.101,0.1787,0.307,0.2232,0.9135,0.2956,0.4017,0.7879,0.7151,0
p63,0.825,0.7421,0.701,0.8465,0.4307,0.7941,0.2609,0.6381,0.1077,0.4669,0
p53,0.9268,0.0599,0.9026,0.4133,0.7769,0.2708,0.6917,0.028,0.5639,0.1474,0
p73,0.4477,0.4439,0.7109,0.8339,0.0142,0.6713,0.3456,0.4345,0.1634,0.1099,0
miR200,0.5769,0.6661,0.5697,0.4227,0.5152,0.4396,0.4789,0.6372,0.2541,0.6796,0
miR203,0.085,0.5516,0.3113,0.2548,0.3904,0.0539,0.5974,0.5248,0.6568,0.2916,0
miR34,0.5297,0.8296,0.9416,0.3899,0.166,0.0023,0.4424,0.9631,0.1967,0.7289,0
AKT2,0.9764,0.5505,0.1406,0.8525,0.8415,0.1127,0.1007,0.9297,0.5851,0.9893,0
ERK,0.0416,0.072,0.2287,0.942,0.4047,0.7639,0.8907,0.1255,0.3793,0.1428,0
SMAD,0.7663,0.9578,0.4619,0.8074,0.1236,0.9528,0.3323,0.9038,0.6379,0.4553,0
